Original file,Renamed 128x128 file
Designer (57).png,Titan Knuckles.png
Designer (58).png,Reinforced Gloves.png
Designer (59).png,Longarm Bracers.png
Designer (60).png,Ally Launcher.png
Designer (61).png,Ram Gauntlets.png
Designer (62).png,Siege Bracers.png
Designer (63).png,Staggering Fists.png
Designer (64).png,Unyielding Aegis.png
Designer (65).png,Quickgrip Gloves.png
Designer (66).png,Ablative Shell.png
Designer (67).png,Butcher's Gloves.png
Designer (68).png,Demolition Mitts.png
Designer (69).png,Crushing Vambraces.png
Designer (70).png,Diplomat's Veil.png
Designer (71).png,Fighter's Gauntlets.png
Designer (72).png,Chronologist Monocle.png
Designer (73).png,Quickhand Hood.png
Designer (74).png,Recruiter's Circlet.png
Designer (75).png,Vector Gloves.png
Designer (76).png,Field Medic Coif.png
