Original file,Renamed 128x128 file
Designer (22).png,Salvager's Cap.png
Designer (23).png,Signal Officer Beret.png
Designer (24).png,Relic Reader Crown.png
Designer (25).png,Siege Gunner Helm.png
Designer (26).png,Trapfinder Goggles.png
Designer (27).png,Locksmith Lens.png
Designer (28).png,Hazard Warden Hood.png
Designer (29).png,Demolition Mask.png
Designer (30).png,Artillerist Eyepiece.png
Designer (31).png,Mechanist Headgear.png
Designer (32).png,Merchant's Turban.png
Designer (33).png,Duelist Jerkin.png
Designer (34).png,Commandant Helm.png
Designer (35).png,Hazard Suit.png
Designer (36).png,Spiked Plate.png
Designer - 2026-09-09T002019.675.png,Quartermaster Badge.png
Designer - 2026-09-09T002021.198.png,Masterwork Toolchain.png
Designer - 2026-09-09T002022.900.png,Emergency Locket.png
Designer - 2026-09-09T002024.369.png,Reinforced Cartridge.png
Designer - 2026-09-09T002025.839.png,Courier's Seal.png
