Original file,Renamed 128x128 file
Designer (37).png,Anchor Mail.png
Designer (38).png,Brigandine.png
Designer (39).png,Rescue Marshal Helm.png
Designer (40).png,Feather Armor.png
Designer (41).png,Reprisal Coat.png
Designer (42).png,Fortress Plate.png
Designer (43).png,Guardian Mantle.png
Designer (44).png,Layered Lamellar.png
Designer (45).png,Sentinel Carapace.png
Designer (46).png,Mirror Mail.png
Designer (47).png,Oracle Diadem.png
Designer (48).png,Reactive Cuirass.png
Designer (49).png,Collision Padding.png
Designer (50).png,Grounding Harness.png
Designer (51).png,Wardweave Robe.png
Designer (52).png,Vector Gloves.png
Designer (53).png,Second-Wind Vest.png
Designer (54).png,Butcher's Gloves.png
Designer (55).png,Quickgrip Gloves.png
Designer (56).png,Interception Armor.png
